split,budget,channel,snr_db,rf_E,rf_L,rf_F,or_E,or_L,or_F
validate,0.3,rayleigh,18,0.0162,0.9838,0.0,0.0162,0.9838,0.0
validate,0.3,rayleigh,20,0.0162,0.9838,0.0,0.0162,0.9838,0.0
test,0.1,awgn,0,0.0005,0.9995,0.0,0.1567,0.8433,0.0
test,0.1,awgn,2,0.0005,0.9995,0.0,0.1567,0.8433,0.0
test,0.1,awgn,4,0.0005,0.9995,0.0,0.1567,0.8433,0.0
test,0.1,awgn,6,0.0005,0.9995,0.0,0.1567,0.8433,0.0
test,0.1,awgn,8,0.0005,0.9995,0.0,0.0369,0.5843,0.3788
test,0.1,awgn,10,0.0,0.9627,0.0373,0.0396,0.4341,0.5263
test,0.1,awgn,12,0.0,0.9525,0.0475,0.0396,0.4341,0.5263
test,0.1,awgn,14,0.0,0.9498,0.0502,0.0396,0.4341,0.5263
test,0.1,awgn,16,0.0,0.9498,0.0502,0.0396,0.4341,0.5263
test,0.1,awgn,18,0.0,0.9502,0.0498,0.0396,0.4341,0.5263
test,0.1,awgn,20,0.0,0.9498,0.0502,0.0396,0.4341,0.5263
test,0.1,rayleigh,0,0.0005,0.9995,0.0,0.1567,0.8433,0.0
test,0.1,rayleigh,2,0.0005,0.9995,0.0,0.1567,0.8433,0.0
test,0.1,rayleigh,4,0.0005,0.9995,0.0,0.1567,0.8433,0.0
test,0.1,rayleigh,6,0.0005,0.9995,0.0,0.1567,0.8433,0.0
test,0.1,rayleigh,8,0.0005,0.9995,0.0,0.1567,0.8433,0.0
test,0.1,rayleigh,10,0.0009,0.9991,0.0,0.1567,0.8433,0.0
test,0.1,rayleigh,12,0.0009,0.9991,0.0,0.1567,0.8433,0.0
test,0.1,rayleigh,14,0.0009,0.9991,0.0,0.1567,0.8433,0.0
test,0.1,rayleigh,16,0.0009,0.9991,0.0,0.1567,0.8433,0.0
test,0.1,rayleigh,18,0.0009,0.9991,0.0,0.1567,0.8433,0.0
test,0.1,rayleigh,20,0.0009,0.9991,0.0,0.1567,0.8433,0.0
test,0.2,awgn,0,0.0018,0.9982,0.0,0.1567,0.8433,0.0
test,0.2,awgn,2,0.0018,0.9982,0.0,0.1567,0.8433,0.0
test,0.2,awgn,4,0.0018,0.9982,0.0,0.1567,0.8433,0.0
test,0.2,awgn,6,0.0014,0.9986,0.0,0.1567,0.8433,0.0
test,0.2,awgn,8,0.0,1.0,0.0,0.0369,0.5843,0.3788
test,0.2,awgn,10,0.0,0.5673,0.4327,0.0396,0.4341,0.5263
test,0.2,awgn,12,0.0,0.5553,0.4447,0.0396,0.4341,0.5263
test,0.2,awgn,14,0.0,0.5535,0.4465,0.0396,0.4341,0.5263
test,0.2,awgn,16,0.0,0.5544,0.4456,0.0396,0.4341,0.5263
test,0.2,awgn,18,0.0,0.5539,0.4461,0.0396,0.4341,0.5263
test,0.2,awgn,20,0.0,0.5535,0.4465,0.0396,0.4341,0.5263
test,0.2,rayleigh,0,0.0018,0.9982,0.0,0.1567,0.8433,0.0
test,0.2,rayleigh,2,0.0018,0.9982,0.0,0.1567,0.8433,0.0
test,0.2,rayleigh,4,0.0018,0.9982,0.0,0.1567,0.8433,0.0
test,0.2,rayleigh,6,0.0018,0.9982,0.0,0.1567,0.8433,0.0
test,0.2,rayleigh,8,0.0014,0.9986,0.0,0.1567,0.8433,0.0
test,0.2,rayleigh,10,0.0018,0.9982,0.0,0.1567,0.8433,0.0
test,0.2,rayleigh,12,0.0018,0.9982,0.0,0.1567,0.8433,0.0
test,0.2,rayleigh,14,0.0018,0.9982,0.0,0.1567,0.8433,0.0
test,0.2,rayleigh,16,0.0018,0.9982,0.0,0.1567,0.8433,0.0
test,0.2,rayleigh,18,0.0018,0.9982,0.0,0.1567,0.8433,0.0
test,0.2,rayleigh,20,0.0018,0.9982,0.0,0.1567,0.8433,0.0
test,0.3,awgn,0,0.0009,0.9991,0.0,0.1567,0.8433,0.0
test,0.3,awgn,2,0.0009,0.9991,0.0,0.1567,0.8433,0.0
test,0.3,awgn,4,0.0009,0.9991,0.0,0.1567,0.8433,0.0
test,0.3,awgn,6,0.0014,0.9986,0.0,0.1567,0.8433,0.0
test,0.3,awgn,8,0.0,0.9258,0.0742,0.0369,0.5843,0.3788
test,0.3,awgn,10,0.0,0.3415,0.6585,0.0396,0.4341,0.5263
test,0.3,awgn,12,0.0,0.3088,0.6912,0.0396,0.4341,0.5263
test,0.3,awgn,14,0.0,0.2977,0.7023,0.0396,0.4341,0.5263
test,0.3,awgn,16,0.0,0.2968,0.7032,0.0396,0.4341,0.5263
test,0.3,awgn,18,0.0,0.2977,0.7023,0.0396,0.4341,0.5263
test,0.3,awgn,20,0.0,0.3,0.7,0.0396,0.4341,0.5263
test,0.3,rayleigh,0,0.0023,0.9977,0.0,0.1567,0.8433,0.0
test,0.3,rayleigh,2,0.0023,0.9977,0.0,0.1567,0.8433,0.0
test,0.3,rayleigh,4,0.0023,0.9977,0.0,0.1567,0.8433,0.0
test,0.3,rayleigh,6,0.0023,0.9977,0.0,0.1567,0.8433,0.0
test,0.3,rayleigh,8,0.0014,0.9986,0.0,0.1567,0.8433,0.0
test,0.3,rayleigh,10,0.0014,0.9986,0.0,0.1567,0.8433,0.0
test,0.3,rayleigh,12,0.0014,0.9986,0.0,0.1567,0.8433,0.0
test,0.3,rayleigh,14,0.0014,0.9986,0.0,0.1567,0.8433,0.0
test,0.3,rayleigh,16,0.0014,0.9986,0.0,0.1567,0.8433,0.0
test,0.3,rayleigh,18,0.0014,0.9986,0.0,0.1567,0.8433,0.0
test,0.3,rayleigh,20,0.0014,0.9986,0.0,0.1567,0.8433,0.0
culver,0.1,awgn,0,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.1,awgn,2,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.1,awgn,4,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.1,awgn,6,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.1,awgn,8,0.0,1.0,0.0,0.0,0.4727,0.5273
culver,0.1,awgn,10,0.0,1.0,0.0,0.0,0.1618,0.8382
culver,0.1,awgn,12,0.0,1.0,0.0,0.0,0.1618,0.8382
culver,0.1,awgn,14,0.0,1.0,0.0,0.0,0.1618,0.8382
culver,0.1,awgn,16,0.0,0.9964,0.0036,0.0,0.1618,0.8382
culver,0.1,awgn,18,0.0,0.9964,0.0036,0.0,0.1618,0.8382
culver,0.1,awgn,20,0.0,0.9964,0.0036,0.0,0.1618,0.8382
culver,0.1,rayleigh,0,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.1,rayleigh,2,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.1,rayleigh,4,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.1,rayleigh,6,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.1,rayleigh,8,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.1,rayleigh,10,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.1,rayleigh,12,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.1,rayleigh,14,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.1,rayleigh,16,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.1,rayleigh,18,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.1,rayleigh,20,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.2,awgn,0,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.2,awgn,2,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.2,awgn,4,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.2,awgn,6,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.2,awgn,8,0.0,1.0,0.0,0.0,0.4727,0.5273
culver,0.2,awgn,10,0.0,0.84,0.16,0.0,0.1618,0.8382
culver,0.2,awgn,12,0.0,0.8364,0.1636,0.0,0.1618,0.8382
culver,0.2,awgn,14,0.0,0.8364,0.1636,0.0,0.1618,0.8382
culver,0.2,awgn,16,0.0,0.8364,0.1636,0.0,0.1618,0.8382
culver,0.2,awgn,18,0.0,0.84,0.16,0.0,0.1618,0.8382
culver,0.2,awgn,20,0.0,0.84,0.16,0.0,0.1618,0.8382
culver,0.2,rayleigh,0,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.2,rayleigh,2,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.2,rayleigh,4,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.2,rayleigh,6,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.2,rayleigh,8,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.2,rayleigh,10,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.2,rayleigh,12,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.2,rayleigh,14,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.2,rayleigh,16,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.2,rayleigh,18,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.2,rayleigh,20,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.3,awgn,0,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.3,awgn,2,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.3,awgn,4,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.3,awgn,6,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.3,awgn,8,0.0,0.9836,0.0164,0.0,0.4727,0.5273
culver,0.3,awgn,10,0.0,0.4291,0.5709,0.0,0.1618,0.8382
culver,0.3,awgn,12,0.0,0.4182,0.5818,0.0,0.1618,0.8382
culver,0.3,awgn,14,0.0,0.4036,0.5964,0.0,0.1618,0.8382
culver,0.3,awgn,16,0.0,0.4,0.6,0.0,0.1618,0.8382
culver,0.3,awgn,18,0.0,0.3982,0.6018,0.0,0.1618,0.8382
culver,0.3,awgn,20,0.0,0.4018,0.5982,0.0,0.1618,0.8382
culver,0.3,rayleigh,0,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.3,rayleigh,2,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.3,rayleigh,4,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.3,rayleigh,6,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.3,rayleigh,8,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.3,rayleigh,10,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.3,rayleigh,12,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.3,rayleigh,14,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.3,rayleigh,16,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.3,rayleigh,18,0.0,1.0,0.0,0.1327,0.8673,0.0
culver,0.3,rayleigh,20,0.0,1.0,0.0,0.1327,0.8673,0.0
