frame,ego_id,collab_id,collab_dist_m,n_cav_available
0,2149,2167,49.667,5
1,2149,2167,48.973,5
2,2149,2167,48.22,5
3,2149,2167,47.412,5
4,2149,2167,46.551,5
5,2149,2167,45.641,5
6,2149,2167,44.687,5
7,2149,2167,43.696,5
8,2149,2167,42.67,5
9,2149,2167,41.627,5
10,2149,2167,40.594,5
11,2149,2167,39.581,5
12,2149,2167,38.591,5
13,2149,2167,37.625,5
14,2149,2167,36.665,5
15,2149,2167,35.684,5
16,2149,2167,34.677,5
17,2149,2167,33.659,5
18,2149,2167,32.637,5
19,2149,2167,31.617,5
20,2149,2167,30.61,5
21,2149,2167,29.638,5
22,2149,2167,28.73,5
23,2149,2167,27.89,5
24,2149,2167,27.118,5
25,2149,2167,26.408,5
26,2149,2167,25.758,5
27,2149,2167,25.17,5
28,2149,2167,24.649,5
29,2149,2167,24.205,5
30,2149,2167,23.849,5
31,2149,2167,23.578,5
32,2149,2167,23.382,5
33,2149,2167,23.254,5
34,2149,2167,23.194,5
35,2149,2167,23.203,5
36,2149,2167,23.277,5
37,2149,2167,23.413,5
38,2149,2167,23.6,5
39,2149,2176,23.183,5
40,2149,2176,22.763,5
41,2149,2176,22.397,5
42,2149,2176,22.084,5
43,2149,2176,21.818,5
44,2149,2176,21.595,5
45,2149,2176,21.41,5
46,2149,2176,21.266,5
47,2149,2176,21.161,5
48,2149,2176,21.088,5
49,2149,2176,21.042,5
50,2149,2176,21.019,5
51,2149,2176,21.014,5
52,2149,2176,21.019,5
53,2149,2176,21.028,5
54,2149,2176,21.038,5
55,2149,2176,21.05,5
56,2149,2176,21.061,5
57,2149,2176,21.071,5
58,2149,2176,21.077,5
59,2149,2176,21.077,5
60,2149,2176,21.07,5
61,2149,2176,21.061,5
62,2149,2176,21.049,5
63,2149,2176,21.038,5
64,2149,2176,21.031,5
65,2149,2176,21.028,5
66,2149,2176,21.028,5
67,2149,2176,21.028,5
68,2149,2176,21.028,5
69,2149,2176,21.031,5
70,2149,2176,21.036,5
71,2149,2176,21.04,5
72,2149,2176,21.043,5
73,2149,2176,21.043,5
74,2149,2176,21.043,5
75,2149,2176,21.046,5
76,2149,2176,21.053,5
77,2149,2176,21.061,5
78,2149,2176,21.07,5
79,2149,2176,21.075,5
80,2149,2176,21.075,5
81,2149,2176,21.073,5
82,2149,2176,21.072,5
83,2149,2176,21.074,5
84,2149,2176,21.073,5
85,2149,2176,21.06,5
86,2149,2176,21.009,5
87,2149,2176,20.911,5
88,2149,2176,20.771,5
89,2149,2176,20.592,5
90,2149,2176,20.382,5
91,2149,2176,20.153,5
92,2149,2176,19.915,5
93,2149,2176,19.682,5
94,2149,2176,19.442,5
95,2149,2176,19.205,5
96,2149,2176,18.985,5
97,2149,2176,18.796,5
98,2149,2176,18.647,5
99,2149,2176,18.53,5
100,2149,2176,18.415,5
101,2149,2176,18.317,5
102,2149,2176,18.238,5
103,2149,2176,18.17,5
104,2149,2176,18.111,5
105,2149,2176,18.049,5
106,2149,2176,17.994,5
107,2149,2176,17.965,5
108,2149,2176,17.967,5
109,2149,2176,17.998,5
110,2149,2176,18.06,5
111,2149,2176,18.149,5
112,2488,2497,46.968,3
113,2488,2497,46.533,3
114,2488,2497,46.142,3
115,2488,2497,45.807,3
116,2488,2506,45.36,3
117,2488,2506,44.699,3
118,2488,2506,44.1,3
119,2488,2506,43.562,3
120,2488,2506,43.079,3
121,2488,2506,42.605,3
122,2488,2506,42.119,3
123,2488,2506,41.628,3
124,2488,2506,41.137,3
125,2488,2506,40.65,3
126,2488,2506,40.164,3
127,2488,2506,39.681,3
128,2488,2506,39.181,3
129,2488,2506,38.657,3
130,2488,2506,38.131,3
131,2488,2506,37.616,3
132,2488,2506,37.115,3
133,2488,2506,36.623,3
134,2488,2506,36.133,3
135,2488,2506,35.641,3
136,2488,2506,35.151,3
137,2488,2506,34.665,3
138,2488,2506,34.18,3
139,2488,2506,33.692,3
140,2488,2506,33.204,3
141,2488,2506,32.72,3
142,2488,2506,32.242,3
143,2488,2506,31.761,3
144,2488,2506,31.261,3
145,2488,2506,30.738,3
146,2488,2506,30.216,3
147,2488,2506,29.728,3
148,2488,2506,29.276,3
149,2488,2506,28.858,3
150,2488,2506,28.473,3
151,2488,2506,28.126,3
152,2488,2506,27.812,3
153,2488,2506,27.541,3
154,2488,2506,27.336,3
155,2488,2506,27.157,3
156,2488,2506,26.971,3
157,2488,2506,26.766,3
158,2488,2506,26.548,3
159,2488,2506,26.339,3
160,2488,2506,26.157,3
161,2488,2506,26.006,3
162,2488,2506,25.889,3
163,2488,2506,25.803,3
164,2488,2506,25.747,3
165,2488,2506,25.724,3
166,2488,2506,25.724,3
167,2488,2506,25.718,3
168,2488,2506,25.702,3
169,2488,2506,25.67,3
170,2488,2506,25.622,3
171,2488,2506,25.565,3
172,2488,2506,25.508,3
173,2488,2506,25.452,3
174,2488,2506,25.397,3
175,2488,2506,25.343,3
176,2488,2506,25.288,3
177,2488,2506,25.224,3
178,2488,2506,25.146,3
179,2488,2506,25.055,3
180,2488,2506,24.951,3
181,2488,2506,24.836,3
182,2488,2506,24.709,3
183,2488,2506,24.574,3
184,2488,2506,24.431,3
185,2488,2506,24.285,3
186,2488,2506,24.138,3
187,2488,2506,23.991,3
188,2488,2506,23.847,3
189,2488,2506,23.71,3
190,2488,2506,23.586,3
191,2488,2506,23.48,3
192,2488,2506,23.395,3
193,2488,2506,23.328,3
194,2488,2506,23.276,3
195,2488,2506,23.237,3
196,2488,2506,23.211,3
197,2488,2506,23.196,3
198,2488,2506,23.195,3
199,2488,2506,23.204,3
200,2488,2506,23.226,3
201,2488,2506,23.262,3
202,2488,2506,23.311,3
203,2488,2506,23.372,3
204,2488,2497,23.33,3
205,2488,2497,22.829,3
206,2488,2497,22.335,3
207,2488,2497,21.841,3
208,2488,2497,21.343,3
209,2488,2497,20.842,3
