frame,ego_id,collab_id,collab_dist_m,n_cav_available
0,302,311,60.318,2
1,302,311,59.613,2
2,302,311,58.895,2
3,302,311,58.143,2
4,302,311,57.339,2
5,302,311,56.475,2
6,302,311,55.549,2
7,302,311,54.557,2
8,302,311,53.496,2
9,302,311,52.364,2
10,302,311,51.171,2
11,302,311,49.968,2
12,302,311,48.795,2
13,302,311,47.661,2
14,302,311,46.593,2
15,302,311,45.582,2
16,302,311,44.544,2
17,302,311,43.505,2
18,302,311,42.479,2
19,302,311,41.469,2
20,302,311,40.496,2
21,302,311,39.576,2
22,302,311,38.722,2
23,302,311,37.945,2
24,302,311,37.256,2
25,302,311,36.655,2
26,302,311,36.114,2
27,302,311,35.59,2
28,302,311,35.061,2
29,302,311,34.512,2
30,302,311,33.945,2
31,302,311,33.354,2
32,302,311,32.759,2
33,302,311,32.195,2
34,302,311,31.668,2
35,302,311,31.2,2
36,302,311,30.735,2
37,302,311,30.262,2
38,302,311,29.819,2
39,302,311,29.395,2
40,302,311,28.967,2
41,302,311,28.549,2
42,302,311,28.122,2
43,302,311,27.725,2
44,302,311,27.344,2
45,302,311,26.947,2
46,302,311,26.529,2
47,302,311,26.099,2
48,302,311,25.667,2
49,302,311,25.212,2
50,302,311,24.72,2
51,302,311,24.222,2
52,302,311,23.706,2
53,302,311,23.165,2
54,302,311,22.611,2
55,302,311,22.034,2
56,302,311,21.455,2
57,302,311,20.917,2
58,302,311,20.405,2
59,302,311,19.896,2
60,302,311,19.394,2
61,302,311,18.901,2
62,302,311,18.416,2
63,302,311,17.939,2
64,302,311,17.453,2
65,302,311,16.957,2
66,302,311,16.467,2
67,302,311,15.993,2
68,302,311,15.55,2
69,302,311,15.153,2
70,302,311,14.811,2
71,302,311,14.525,2
72,302,311,14.296,2
73,302,311,14.125,2
74,302,311,14.017,2
75,302,311,13.977,2
76,302,311,14.005,2
77,302,311,14.096,2
78,302,311,14.241,2
79,302,311,14.411,2
80,302,311,14.602,2
81,302,311,14.824,2
82,302,311,15.078,2
83,302,311,15.359,2
84,302,311,15.673,2
85,302,311,16.03,2
86,302,311,16.427,2
87,302,311,16.858,2
88,302,311,17.335,2
89,302,311,17.864,2
90,1773,1782,37.922,2
91,1773,1782,37.922,2
